Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Understanding the export of biogenic particles in oceanic waters: Is there consensus?,"Boyd, PW; Trull, TW","We examine progress towards a global view of oceanic export of particulate organic carbon (POC) and other nutrient elements (P, N, Si) from the surface (upper 100 m), through the subsurface, to the deep sea (>1000 m), focusing on syntheses published since 1999 and on the Joint Global Ocean Flux Study. Food-web structure is important, and surface and subsurface processes contribute similarly to determine the fraction of net primary production (NPP) reaching the deep sea. NPP by large cells generally favours high surface export of POC. Preferential remineralization of P and N (versus C) with depth is common, as is regional variation in subsurface POC flux attenuation.The role of mineral fluxes is complex. Annual mean fluxes of POC and minerals are correlated in global deep sediment trap records, but causality and the relative importance of different minerals depends on the assumptions made, Time-series observations at single sites can oppose the geographic trends, and their large seasonal variability in the contribution of POC to total flux is at odds with mechanistic models for POC transport by minerals. Despite generally positive correlations between biogenic carbonate and POC fluxes, the overall role of carbonate export is to decrease the transfer of carbon dioxide from the atmosphere to the ocean. Both autotrophs and heterotrophs produce minerals, and progress in separating these contributions is required for the deconvolution of mineral ballast and food-web effects.Many recent models suggest global surface POC export of similar to 10 GTC/yr, despite widely varying biological complexity. This limits the usefulness of their prediction of ecosystem and carbon cycle responses to global change. Progress requires better observations for model validation, and more efforts to relate the models to the observed complexity, rather than to overly simplified global syntheses. We advocate more time-series stations targeting under-studied biogeochemical regions, development of automated in situ tools for study of the subsurface ocean, and increased emphasis on combining ecological and biogeochemical methods. (C) 2006 Elsevier Ltd. All rights reserved.",2007,,PROGRESS IN OCEANOGRAPHY,72,4,276-312,WOS:000245798400001,10.1016/j.pocean.2006.10.007,,#18,Boyd 2007,"",""
Linking Spatial-Temporal Changes of Vegetation Cover with Hydroclimatological Variables in Terrestrial Environments with a Focus on the Lake Urmia Basin,"Foroumandi, E; Nourani, V; Dabrowska, D; Kantoush, SA","Investigation of vegetation cover is crucial to the study of terrestrial ecological environments as it has a close relationship with hydroclimatological variables and plays a dominant role in preserving the characteristics of a region. In Iran, the current study selected the watersheds of two rivers, Nazloo-Chay and Aji-Chay, to systematically investigate the implications and causes of vegetation cover variations under changing environments. These two rivers are among the essential inflows to Lake Urmia, the second largest saline lake on Earth, and are located on the west and east sides of the lake, respectively. There has been a debate between the people living in the rivers' watersheds about who is responsible for the decline in the level of Lake Urmia-does responsibility fall with those on the east side or with those on the west side? In this study, the normalized difference vegetation index (NDVI) was used as a remotely sensed index to study spatial-temporal pattern changes in vegetation. Moreover, the temperature, precipitation, and streamflow time series were gathered using ground measurements to explore the causes and implications of changing vegetation cover. Discrete wavelet transform was applied to separate the different components of the time series. The Mann-Kendall (MK) test was applied to the time series on monthly, seasonal, and annual time scales. The connections and relationship between the NDVI time series and temperature, precipitation, and streamflow time series and any underlying causes were investigated using wavelet transform coherence (WTC). Land use maps were generated for different years using a support vector machine (SVM) in the final stage. The results indicated that the most dominant monthly, seasonal, and annual hydrological periodicities across the watersheds are 8 months, 6 months, and 2 years, respectively. The increasing vegetation cover during stable hydro-environmental periods revealed unusual conditions in the Aji-Chay watershed and reflected agricultural expansion. The WTC graphs indicated sudden changes in mutual periodicities and time-lags with different patterns between variables, which indicates the increasing anthropogenic activities in both watersheds. However, this was more dominant in the Aji-Chay watershed. The land use maps and investigation of the averaged NDVI maps also denoted that the areas of cultivated land have increased by 30% in the Aji-Chay watershed, and crop types have been changed to the crops with a higher demand for water in both watersheds.",2022,,LAND,11,1,,WOS:000756483800001,10.3390/land11010115,,#19,Foroumandi 2022,"",""
Modelling stock dynamics in the southern Benguela ecosystem for the period 1978-2002,"Shannon, LJ; Christensen, V; Walters, CJ","An ecosystem model of the southern Benguela was fitted to available time-series data for the period 1978-2002, to explore how changes in target fish populations in this ecosystem can be attributed to feeding interaction terms and population control patterns, the impact of fishing, and environmental forcing. Fishing patterns were estimated to explain only 2-3% of the variability in the time-series, whereas an estimated productivity forcing pattern applied to phytoplankton explained 4-12% of the variance represented by the sum of squares. Model settings describing prey vulnerability to their predators could explain around 40% of the variability in the time-series. Modelled stock dynamics in the southern Benguela ecosystem more closely represent observed time-series when wasp-waist control by small pelagic fish is simulated. Overall, model simulations suggest that almost half the variance in the time-series can be explained based on a combination of fishing, vulnerability settings and productivity patterns. Variation in mortalities and prey preferences over time, as well as model fits in relation to available effort series, are discussed. The study advances a model with improved parameterization and credibility to assist with an ecosystem approach to South African fisheries management.",2004,,AFRICAN JOURNAL OF MARINE SCIENCE,26,,179-196,WOS:000224636100012,10.2989/18142320409504056,,#21,Shannon 2004,"",""
"Population trends and status of two exploited Northwest Atlantic grenadiers, Coryphaenoides rupestris and Macrourus berglax","Devine, JA; Haedrich, RL","Roundnose grenadier Coryphaenoides rupestris and roughhead grenadier Macrourus berglax are well known slope species in the North Atlantic. Dramatic population declines in both species in Canadian waters of the Northwest Atlantic raised the question: was the decline a result of environmental changes or exploitation? Min-max autocorrelation factor analysis and dynamic factor analysis, two types of time series analysis, showed that a combination of factors acting on different temporal scales explained the trends in both species. Those in Macrourus were best explained by environmental factors operating on long time scales; those in Coryphaenoides were related to exploitation. Our results support the view that ail unregulated deep-ocean fishery, as experienced by Coryphaenoides, has serious consequences for species that are slow-growing, long-lived, and late-maturing.",2008,,"GRENADIERS OF THE WORLD OCEANS: BIOLOGY, STOCK ASSESSMENT, AND FISHERIES",63,,463-+,WOS:000258525400026,,,#23,Devine 2008,"",""
Multistate occupancy modeling improves understanding of amphibian breeding dynamics in the Greater Yellowstone Area,"Gould, WR; Ray, AM; Bailey, LL; Thoma, D; Daley, R; Legg, K","Discerning the determinants of species occurrence across landscapes is fundamental to their conservation and management. In spatially and climatologically complex landscapes, explaining the dynamics of occurrence can lead to improved understanding of short- vs. long-term trends and offer novel insight on local vs. regional change. We examined the changes in occupancy for two species of anurans with different life histories over a decade using hundreds of wetland sites in Yellowstone and Grand Teton National Parks. To account for the joint dynamics of wetland drying and amphibian breeding, we adopted a multistate occupancy model as a means to investigate mechanistic relationships of observed occurrence patterns with climatological drivers of wetland hydrologic variability. This approach allowed us to decompose occupancy dynamics into habitat changes caused by wetland drying and amphibian breeding activity, conditional on available water and previous breeding state. Over our 10-yr time series, we observed considerable variability in climate drivers and the proportion of dry wetlands. Boreal chorus frogs (Pseudacris maculata) were more responsive to changes in wetland inundation status than Columbia spotted frogs (Rana luteiventris), as indicated by higher breeding colonization probabilities under favorable (wet) conditions. Both species had high probabilities of breeding persistence in permanently inundated wetlands with prior breeding. Despite the absence of multi-year drought in our time series, mechanistic relationships described here offer insights on how future climate variation may result in reduced and/or shifted occurrence patterns for pond-breeding anurans in the Greater Yellowstone Area. Further, our modeling approach may prove valuable in evaluating determinants of occurrence for other species that are dependent on wetlands or other dynamic habitats.",2019,,ECOLOGICAL APPLICATIONS,29,1,,WOS:000454685500003,10.1002/eap.1825,,#24,Gould 2019,"",""
Coincident recruitment patterns of Southern Hemisphere fishes,"Castillo-Jordán, C; Klaer, NL; Tuck, GN; Frusher, SD; Cubillos, LA; Tracey, SR; Salinger, MJ","Three dominant recruitment patterns were identified across 30 stocks from Australia, New Zealand, Chile, South Africa, and the Falkland Islands using data from 1980 to 2010. Cluster and dynamic factor analysis provided similar groupings. Stocks exhibited a detectable degree of synchrony among species, in particular the hakes and lings from Australia, New Zealand, Chile, and South Africa. We tested three climate indices, the Interdecadal Pacific Oscillation (IPO), Southern Annular Mode (SAM), and Southern Oscillation Index (SOI), to explore their relationship with fish stock recruitment patterns. The time series of IPO and SOI showed the strongest correlation with New Zealand hoki (blue grenadier, Macruronus novaezelandiae) and Australian jackass morwong (Nemadactylus macropterus) (r = 0.50 and r = -0.50), and SAM was positively related to Australian Macquarie Island Patagonian toothfish (Dissostichus eleginoides) (r = 0.49). Potential linkages in recruitment patterns at sub-basin, basin, and multibasin scales and regional and global climate indices do account for some of the variation, playing an important role for several key Southern Hemisphere species.",2016,,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,73,2,270-278,WOS:000375420000012,10.1139/cjfas-2015-0069,,#28,Castillo-Jordán 2016,"",""
Bi-decadal variability in physico-biogeochemical characteristics of temperate coastal ecosystems: from large-scale to local drivers,"Lheureux, A; Savoye, N; Del Amo, Y; Goberville, E; Bozec, Y; Breton, E; Conan, P; L'Helguen, S; Mousseau, L; Raimbault, P; Rimelin-Maury, P; Seuront, L; Vuillemin, R; Caparros, J; Cariou, T; Cordier, MA; Corre, AM; Costes, L; Crispi, O; Crouvoisier, M; de Latour, HD; Derriennic, H; Devesa, J; Durozier, M; Ferreira, S; Garcia, N; Grossteffan, E; Gueux, A; Lafont, M; Lagadec, V; Lecuyer, E; Leroux, C; Macé, E; Maria, E; Mornet, L; Nowaczyk, A; Parra, M; Petit, F; David, V","Coastal marine ecosystems, which play a crucial role in the biogeochemical and ecological functioning of the Earth, are highly sensitive to the combined effects of climate and human activities. Because of their location, coastal ecosystems are directly influenced by human activities, but it remains challenging to assess the spatial and temporal scales at which climate influences coastal ecosystems. We monitored 12 sampling stations, distributed in 8 ecosystems in France, over 2 decades for physico-biogeochemical parameters (temperature, salinity, concentrations of dissolved oxygen, nutrients and particulate material). The study encompasses a large diversity of temperate coastal ecosystems with respect to e.g. geomorphology, trophic status, tidal regime, river influence and turbidity. Time-series analysis coupled with standardised 3-mode principal component analyses, partial triadic analyses and correlations were used to assess bi-decadal variability and ecosystem trajectories, and to identify large-scale, regional and local drivers. Our results highlighted 2 abrupt changes in 2001 and 2005. The bi-decadal changes were related to changes in large-scale and regional climate, detected through proxies of temperature and atmospheric circulation, as well as through river discharge. Ecosystem trajectories tended to move towards an increase in temperature and salinity, and/or a decrease in chlorophyll a, nutrients and particulate matter. However, the magnitude of change, the year-to-year variability and the sensitivity to the 2001 and 2005 changes varied among the ecosystems. This study highlights the need for establishing long-term time series and combining data sets as well as undertaking multi-ecosystem and local studies to better understand the long-term variability of coastal ecosystems and its associated drivers.",2021,,MARINE ECOLOGY PROGRESS SERIES,660,,19-35,WOS:000624339300002,10.3354/meps13577,,#30,Lheureux 2021,"",""
Comment. What drives plankton seasonality in a stratifying shelf sea? Some competing and complementary theories,"Atkinson, A; Polimene, L; Fileman, ES; Widdicombe, CE; McEvoy, AJ; Smyth, TJ; Djeghri, N; Sailley, SF; Cornwell, LE","The Plymouth L4 time plankton series in the Western English Channel is a textbook example of a shallow, stratifying shelf sea system. Over its 30 yr of weekly sampling, this site has provided a diverse and contrasting suite of numerical and conceptual models of plankton bloom formation, phenology, and seasonal succession. The most recent of these papers, Kenitz et al. (2017) has initiated this comment, partly because we feel that it has presented a slightly misleading picture of the plankton composition at this site, and of a robust, recurring seasonal succession. We address this by illustrating the extent of inter-annual variability in phenology that occurs at the site, and which needs to be captured better within models. However our main aim is to foster a much better integration of the variety of top-down and bottom-up processes that have all been suggested to be key in driving seasonal succession. Some of these, particularly the multiple grazing and growth controls contributing to the so-called ""loophole hypothesis"" may be complementary, but others, such as the role of copepod feeding traits in driving species succession (Kenitz et al. 2017) offer testable competing hypotheses. The basic assumptions and outputs of all these models need to be validated more critically, both against time series data and process studies that include the finding of unselective feeding. We suggest that the variability in plankton phenology (and not just mean timing and amplitude) could be used to diagnose the performance of alternative models of plankton succession.",2018,,LIMNOLOGY AND OCEANOGRAPHY,63,6,2877-2884,WOS:000450233300040,10.1002/lno.11036,,#32,Atkinson 2018,"",""
"Quantifying the historical development of recreational fisheries in Southeast Queensland, Australia","Chong-Montenegro, C; Thurstan, RH; Pandolfi, JM","Recreational fisheries are of global socio-ecological importance and contribute significantly to local economies and fisheries harvests. In some regions of Australia, organized recreational fishing activities have existed for over 150 yr. However, historical understanding of the spatio-temporal development and resource usage of recreational fisheries has been hampered by the lack of continuous time-series catch and effort data. This study used historical newspaper articles of reported landings by fishing clubs to reconstruct catch rate trends and evaluate changes in catch composition of marine recreational fishing activities in Moreton Bay, Queensland, Australia, from 1920-1984. Using generalized additive mixed models, 2 catch rate metrics (no. of fish fisher-1 trip-1 and kg fish fisher-1 trip-1) were constructed as functions of time and distance travelled. Significant nonlinear relationships were found for no. of fish fisher-1 trip-1. Fluctuations in no. of fish fisher-1 trip-1 were strongly influenced by time, while increases in distance travelled predicted a larger no. of fish fisher-1 trip-1. Measures of kg fish fisher-1 trip-1 were tightly linked to increases in distance travelled but did not vary with time. Spatial analysis revealed shifts in areas fished, from inshore reefs during the 1920s and 1930s (pre-WWII) towards isolated offshore island systems in later decades (>1950s; post-WWII). Reported catches pre-WWII were strongly associated with reef species, while reported catches post-WWII were predominantly characterized by demersal coastal fish. Spatially resolved time-series fisheries data can be reconstructed from archival sources, providing valuable information about the development of recreational fishing activities and explaining the historical social-ecological dynamics that led to current ecosystem states.",2022,,MARINE ECOLOGY PROGRESS SERIES,696,,135-149,WOS:000854198500010,10.3354/meps14138,,#33,Chong-Montenegro 2022,"",""
IMPACT OF THE ATATURK DAM LAKE ON AGRO-METEOROLOGICAL ASPECTS OF THE SOUTHEASTERN ANATOLIA REGION USING REMOTE SENSING AND GIS ANALYSIS,"Ozcan, O; Bookhagen, B; Musaoglu, N","The Ataturk Dam is the fourth largest clay-cored rock fill dam in the world. It was constructed on the Euphrates River located in semi-arid Southeastern Turkey in the 1980s as the central component of a large-scale regional development project for the Southeastern Anatolia region (referred to as GAP). The construction began in 1983 and was completed in 1990. The dam and the hydroelectric power plant, which went into service after filling up the reservoir was accomplished in 1992. The Ataturk Dam, which has a height of 169 m, a total storage capacity of 48.7 million m(3), and a surface area of about 817 km(2) plays an important role in the development of Turkey's energy and agriculture sectors. In this study, the spatial and temporal impacts of the Ataturk Dam on agro-meteorological aspects of the Southeastern Anatolia region have been investigated. Change detection and environmental impacts due to water-reserve changes in Ataturk Dam Lake have been determined and evaluated using multi-temporal Landsat satellite imageries and meteorological datasets within a period of 1984 to 2011. These time series have been evaluated for three time periods. Dam construction period constitutes the first part of the study. Land cover/use changes especially on agricultural fields under the Ataturk Dam Lake and its vicinity have been identified between the periods of 1984 to 1992. The second period comprises the 10-year period after the completion of filling up the reservoir in 1992. At this period, Landsat and meteorological time-series analyses are examined to assess the impact of the Ataturk Dam Lake on selected irrigated agricultural areas. For the last 9-year period from 2002 to 2011, the relationships between seasonal water-reserve changes and irrigated plains under changing climatic factors primarily driving vegetation activity (monthly, seasonal, and annual fluctuations of rainfall rate, air temperature, humidity) on the watershed have been investigated using a 30-year meteorological time series. For all images, geometric corrections including digital elevation information and Tasseled Cap transformations were carried out to attain changes in surface reflectance and denoting disturbance of Landsat reflectance data. Consequently, thematic maps of the affected areas were created by using appropriate visualization and classification techniques in conjunction with geographical information system. The resulting dataset was used in a linear trend analysis to characterize spatiotemporal patterns of vegetation-cover development. Analysis has been conducted in ecological units that have been determined by climate and land cover/use. Based on the results of the trend analysis and the primary factor analysis, selected parts of South-eastern Anatolia region are analyzed. The results showed that approximately 368 km2 of agricultural fields have been affected because of inundation due to the Ataturk Dam Lake. However, irrigated agricultural fields have been increased by 56.3% of the total area (1552 km2 of 2756km(2)) on Harran Plain within the period of 1984 -2011. This study presents an effective method for time-series analysis that can be used to regularly monitor irrigated fields in the Southeastern Anatolia region.",2012,,"XXII ISPRS CONGRESS, TECHNICAL COMMISSION VIII",39-B8,,305-310,WOS:000358207600056,,,#34,Ozcan 2012,"",""
"ECOLOGICAL INDICATORS BASED ON FISHERIES LANDING TIME-SERIES DATA: AN APPLICATION TO THREE COASTAL LAGOONS IN AMVRAKIKOS GULF (E. MEDITERRANEAN, GREECE)","Zoulias, T; Kapiris, K; Reizopoulou, S","kThe landing time-series in Logarou, Rodia-Tsoukalio and Tsopeli lagoons (Amvrakikos Gulf, NW Greece) were analyzed for the time period 1980-2004 in order to estimate fisheries production in relation to the environmental quality and the anthropogenic pressures imposed on the lagoons. According to the findings, the fishing yields in the studied systems showed a decreasing trend. In Logarou lagoon, a decreasing trend was noticed in the mean trophic level ecological index (mTL) as well as tendency changes in the trophic structure according to the initial sigmoid shape of the relative biomass trophic level spectra (BTLS). Moreover, a 'Fishing down food web (FDFW)' effect for the period 1994-1997 was identified. Rodia-Tsoukalio lagoon complex is characterized by a constant trend of the mTL index as a result of changes in the productivity of the lagoon. In Tsopeli lagoon, the collapse of the eel production and the environmental status of the adjacent coastal area seem to predominate as a driver for the ecological index trend as no obvious source of pollution or significant trophic level composition alterations occurred in the system.",2014,,VIE ET MILIEU-LIFE AND ENVIRONMENT,64,,9-21,WOS:000352047100002,,,#38,Zoulias 2014,"",""
Present climate trends and variability in thermohaline properties of the northern Adriatic shelf,"Vilibic, I; Zemunik, P; Sepic, J; Dunic, N; Marzouk, O; Mihanovic, H; Denamiel, C; Precali, R; Djakovac, T","The paper documents seasonality, interannual-to-decadal variability, and trends in temperature, salinity, and density over a transect in the shallow northern Adriatic Sea (Mediterranean Sea) between 1979 and 2017. The amplitude of seasonality decreases with depth and is much larger in temperature and density than in salinity. Time series of temperature and salinity are correlated in the surface but not in the bottom layer. Trends in temperature are large (up to 0.6 degrees C over 10 years), significant through the area, and not sensitive to the sampling interval and time series length. In contrast, trends in salinity are largely small and insignificant and depend on the time series length. The warming of the area is more during spring and summer. Such large temperature trends and their spatial variability emphasize the importance of maintaining regular long-term observations for the proper estimation of thermohaline trends and their variability. This is particularly important in regions which are key for driving thermohaline circulation such as the northern Adriatic, with the potential to affect biogeochemical and ecological properties of the whole Adriatic Sea.",2019,,OCEAN SCIENCE,15,5,1351-1362,WOS:000491151800001,10.5194/os-15-1351-2019,,#42,Vilibic 2019,"",""
Assessing the impact of the invasive ctenophore Mnemiopsis leidyi on artisanal fisheries in the Venice Lagoon: an interdisciplinary approach,"Piccardi, F; Poli, F; Sguotti, C; Tirelli, V; Borme, D; Mazzoldi, C; Barausse, A","The sea walnut, Mnemiopsis leidyi, has invaded and expanded throughout the whole Mediterranean Sea basin. Large blooms were recorded also in the Venice Lagoon (Italy), an ecosystem rich with biodiversity which supports multiple services, including artisanal fishery production. To investigate M. leidyi impacts on lagoon artisanal fisheries, we combined fishers' local ecological knowledge, fishery landing time series analysis, and field sampling. Firstly, we interviewed artisanal fishers to date the blooms of M. leidyi. Secondly, we analyzed long-term fishery landings records to detect whether changes in landings quantity and composition were related to the ctenophore invasion. Thirdly, we sampled catches of the lagoon fyke nets. This interdisciplinary approach overcame the weaknesses of single methodologies and allowed us to reconstruct the temporal phases of M. leidyi invasion in the Venice Lagoon. Moreover, our results indicate that the lagoon landings significantly declined with the blooms, paralleled by the increase of water temperature. Finally, we showed that the mechanical obstruction of the nets, caused by the massive ctenophore blooms, strongly impacts fishing activities. Our results are a first step in assessing the short and long-term impacts of this invasive species on lagoon ecosystems, including its socioeconomic consequences, whose better understanding is fundamental to inform mitigation and adaptation measures.",2025,,HYDROBIOLOGIA,852,8-9,2387-2405,WOS:001206255300001,10.1007/s10750-024-05505-6,,#43,Piccardi 2025,"",""
Interaction assessments in correlated and autocorrelated environments,"Ripa, J; Ives, AR","Natural food webs are embedded in a variable environment, which causes population densities to fluctuate, despite a potential stable equilibrium. Population interactions as well as the characteristics of the environmental fluctuations determine the resulting population dynamics. Populations sensitive to the same kind of environmental disturbances will show correlated responses in their respective growth rates. Such ""environmental correlation"" between species can have profound effects on the populations' dynamics, e.g. generating a positive correlation between the abundances of two competitors, which makes a direct correlation a highly inappropriate measure of population interactions. However, multivariate time-series analysis will still identify and quantify population interactions correctly. The picture is more complicated if the environmental fluctuations are correlated over time environmental autocorrelation causes biases in interaction assessments and possibly falsely identified delayed interactions. We present approximate expressions for the estimation bias, which show that the bias is the weakest when food web dynamics are close to unstable. In the absence of close to unstable dynamics the only way to avoid this estimation error is to incorporate the most important environmental drivers as covariates in the time-series analysis.",2007,,IMPACT OF ENVIRONMENTAL VARIABILITY ON ECOLOGICAL SYSTEMS,2,,111-+,WOS:000248254100006,,,#47,Ripa 2007,"",""
The macroecology of population dynamics: taxonomic and biogeographic patterns in population cycles,"Kendall, BE; Prendergast, J; Bjornstad, ON","Regular cycles in population abundance are fascinating phenomena, but are they common in natural populations? How are they distributed among taxa? Are there differences between different regions of the world, or along latitudinal gradients? Using the new Global Population Dynamics Database we analysed nearly 700 long (25 + years) time series of animal field populations, looking for large-scale patterns in cycles. Nearly 30% of the time series were cyclic. Cycle incidence varied among taxonomic classes, being most common in mammal and fish populations, but only in fish did cycle incidence vary among orders. Cycles were equally common in European and North American populations, but were more common in Atlantic fish than Pacific fish. The incidence of cycles increased with latitude in mammals only. There was no latitudinal gradient in cycle period, but cycle amplitude declined with latitude in some groups of fish. Even after considering the biases in the data source and expected type I error, population cycles seem common enough to warrant ecological attention.",1998,,ECOLOGY LETTERS,1,3,160-164,WOS:000078303200006,,,#48,Kendall 1998,"",""
Extraction of sea temperature in the Barents Sea by a scale space multiresolution method - prospects for Atlantic salmon,"Pasanen, L; Laukkanen-Nevala, P; Launonen, I; Prusov, S; Holmström, L; Niemelä, E; Erkinaro, J","Variation of marine temperature at different time scales is a central environmental factor in the life cycle of marine organisms, and may have particular importance for various life stages of anadromous species, for example, Atlantic salmon. To understand the salient features of temperature variation we employ scale space multiresolution analysis, that uses differences of smooths of a time series to decompose it as a sum of scale-dependent components. The number of resolved components can be determined either automatically or by exploring a map that visualizes the structure of the time series. The statistical credibility of the features of the components is established with Bayesian inference. The method was applied to analyze a marine temperature time series measured from the Barents Sea and its correlation with the abundance of Atlantic salmon in three Barents Sea rivers. Besides the annual seasonal variation and a linear trend, the method revealed mid time-scale (approximate to 10 years) and long time-scale (approximate to 30 years) variation. The 10-year quasi-cyclical component of the temperature time series appears to be connected with a similar feature in Atlantic salmon abundance. These findings can provide information about the environmental factors affecting seasonal and periodic variation in survival and migrations of Atlantic salmon and other migratory fish.",2017,,JOURNAL OF APPLIED STATISTICS,44,13,2317-2336,WOS:000407163900003,10.1080/02664763.2016.1252731,,#50,Pasanen 2017,"",""
